Product Name,Quantity,Retail Price,Received,Profit,Amazon Link,Ebay Link
"GOOACC GRC-32 100 Pcs 100pcs Type Retainer for Lexus Toyota Body, Splash Shield Clips 90467-07201 Replacement, Quality Nylon Push Rivets with Bonus Fastener Remover",1,8.76,12.85,2.16,https://www.amazon.com/GOOACC-GRC-32-Retainer-90467-07201-Replacement/dp/B07JPH95VF?tag=dcaft-20,https://www.ebay.com/itm/404845939807
"AmaCupid Nylon Fiber Brushed Buffing Wheels 6 Inch 5P Hardness. for Bench Grinder Buffing Machine Polishing Copper. 180 Grit, 1/2 inch Arbor, 1 inch Thickness",1,12.89,16.58,1.2,https://www.amazon.com/Amacupid-Deburring-Wire-Drawing-Wheels-Nylon-Fibe-Wheel-6-Inch-5P-Hardness-For/dp/B09QKSDQVY?tag=dcaft-20,https://www.ebay.com/itm/156149714566
"Auto Ventshade [AVS]Bugflector / Hood Shield | 88-99 Chevy/GMC C1500,K1500, 88-00 C2500/3500,K2500-K3500, 92-99 Subr, 92-94 Blazer, 92-99 Yukn, 95-99 Tahoe, Medium Profile - Smoke, 1 pc. | 23024",1,65.24,79.99,2.75,https://www.amazon.com/Auto-Ventshade-Avsbugflector-Hood-Shield-88-99-Chevygmc-C1500K1500-88-0/dp/B0001EXBOW?tag=dcaft-20,https://www.ebay.com/itm/404703991673
"Petstages Dogwood Wood Alternative Dog Chew Toy, Large",1,6.38,9.02,1.29,https://www.amazon.com/Petstages-Dogwood-Wood-Alternative-Dog-Chew-Toy-Large/dp/B007R1BN56?tag=dcaft-20,https://www.ebay.com/itm/156147186578
"Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 20513, Bright Yellow",1,0.63,1.93,1.01,https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-Colors/dp/B005U7BNPE?tag=dcaft-20,https://www.ebay.com/itm/355164520781
"Balance Grow Honey Citron & Ginger Tea 70.55oz (4lbs/2kg) Pack Of 1, 1count",1,26.88,37.99,5.41,https://www.amazon.com/Balance-Grow-Honey-Citron-Ginger-Tea-7055Oz-4Lbs2Kg-Pack-Of-1-1Count/dp/B082QZGJ2Z?tag=dcaft-20,https://www.ebay.com/itm/305485891814
Palmer's Olive Oil Formula GRO Therapy 5.25 Oz,1,4.07,6.6,1.54,https://www.amazon.com/Palmers-Olive-Oil-Formula-Gro-Therapy-525-Oz/dp/B003RQ226Y?tag=dcaft-20,https://www.ebay.com/itm/355438846284
"Charles Leonard Thumb Tacks, On Safety Cards, Painted White, 40-Pack (83535)",1,1.27,3.01,1.29,https://www.amazon.com/Charles-Leonard-Painted-40-Pack-83535/dp/B00342VCKS?tag=dcaft-20,https://www.ebay.com/itm/156069546623
"Jelly Belly Gift Bag, Buttered Popcorn",1,7.86,10.87,1.38,https://www.amazon.com/Jelly-Belly-Gift-Buttered-Popcorn/dp/B00AYGEGXW?tag=dcaft-20,https://www.ebay.com/itm/296182460498
Coghlan's Multi-Spice,1,5.97,9.48,2.09,https://www.amazon.com/Coghlans-9961-Multi-Spice/dp/B000FXWLA4?tag=dcaft-20,https://www.ebay.com/itm/404784927929
"Dewey Rods Chr-16 Chamber Cleaning Combo, Red, Gold",1,18.38,23.54,1.63,https://www.amazon.com/Dewey-Rods-Chr-16-Chamber-Cleaning-Combo-Red-Gold/dp/B000AU2VY8?tag=dcaft-20,https://www.ebay.com/itm/296289986280
"iHMeiju 8pcs Waterproof Deep Reach Markers, Long Nose Marker in 2mm Felt Tip, 30mm Reach Permanent Markers and Marker Pens, Deep Hole Marker Carpenter Ink Marker for Carpenters Builders Construction.",1,10.54,14.13,1.47,https://www.amazon.com/dp/B0BPLRYT6N?tag=dcaft-20,https://www.ebay.com/itm/145629249642
CHIMES ORIGINAL Ginger Chews (1-Pound 1 LB BAG) Premium Natural Chewy Ginger Candy — 16 OZ Individually Wrapped Ginger Chew Candy,1,16.3,21.98,2.38,https://www.amazon.com/dp/B005ISUOEQ?tag=dcaft-20,https://www.ebay.com/itm/226008006355
"June Gold 440 Pieces, 0.7 mm 4B Lead Refills, 110 Pieces Per Dispenser, Medium Thickness, Break Resistant Lead/Graphite (Pack of 4 Dispensers)",1,6.42,9.51,1.66,https://www.amazon.com/June-Gold-440-Pieces-07-Mm-4B-Lead-Refills-110-Pieces-Per-Tube-Medium-Thickn/dp/B08SZQC5ML?tag=dcaft-20,https://www.ebay.com/itm/404825483720
"RIDGID 70830 Dark Thread Cutting Oil, 1-Gal. Low-Odor Anti-Mist Formulation Dark Pipe Threading Oil",3,80.01,98.97,4.11,https://www.amazon.com/Ridgid-70830-Dark-Thread-Cutting-Oil-1-Gallon-Of-Dark-Pipe-Threading-Oil-Blac/dp/B0002YPMUM?tag=dcaft-20,https://www.ebay.com/itm/226047454337
"McCormick Poultry Gravy Mix, 18 oz",1,5.76,8.63,1.58,https://www.amazon.com/Mccormick-Poultry-Gravy-Mix-18-Oz/dp/B005IVPDKI?tag=dcaft-20,https://www.ebay.com/itm/296292774327
